,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
20,2018-01-21,345.90603726168536,-52.86088143443394,180.18884587189592,345.90603726168536,345.90603726168536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281.8911570831443,-281.8911570831443,-281.8911570831443,0.0,0.0,0.0,-96.868588405166,-96.868588405166,-96.868588405166,-185.0225686779783,-185.0225686779783,-185.0225686779783,0.0,0.0,0.0,64.01488017854103
21,2018-01-22,346.97737095255513,165.95220735383697,378.89470065331585,346.97737095255513,346.97737095255513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.32962408530477,-83.32962408530477,-83.32962408530477,0.0,0.0,0.0,99.97155181631618,99.97155181631618,99.97155181631618,-183.30117590162095,-183.30117590162095,-183.30117590162095,0.0,0.0,0.0,263.64774686725036
22,2018-01-23,348.04870464342486,127.05066110604717,356.38241346084027,348.04870464342486,348.04870464342486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.38905700140785,-109.38905700140785,-109.38905700140785,0.0,0.0,0.0,72.76740485340918,72.76740485340918,72.76740485340918,-182.15646185481702,-182.15646185481702,-182.15646185481702,0.0,0.0,0.0,238.659647642017
23,2018-01-24,349.12003833429463,89.96317613105134,316.66632602382447,349.12003833429463,349.12003833429463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.9572672541156,-144.9572672541156,-144.9572672541156,0.0,0.0,0.0,36.676094613539654,36.676094613539654,36.676094613539654,-181.63336186765525,-181.63336186765525,-181.63336186765525,0.0,0.0,0.0,204.16277108017903
24,2018-01-25,350.1913720251644,54.77605236780106,271.1329979411141,350.1913720251644,350.1913720251644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.52402988907036,-185.52402988907036,-185.52402988907036,0.0,0.0,0.0,-3.7626809264844994,-3.7626809264844994,-3.7626809264844994,-181.76134896258588,-181.76134896258588,-181.76134896258588,0.0,0.0,0.0,164.66734213609405
25,2018-01-26,351.2627057160342,33.614538017609455,258.74836642880507,351.2627057160342,351.2627057160342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.39571118532731,-203.39571118532731,-203.39571118532731,0.0,0.0,0.0,-20.842834908235123,-20.842834908235123,-20.842834908235123,-182.55287627709217,-182.55287627709217,-182.55287627709217,0.0,0.0,0.0,147.86699453070688
26,2018-01-27,352.33403940690397,-41.14090530426761,193.2847621068263,352.33403940690397,352.33403940690397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.94316315103674,-271.94316315103674,-271.94316315103674,0.0,0.0,0.0,-87.94094704267079,-87.94094704267079,-87.94094704267079,-184.00221610836596,-184.00221610836596,-184.00221610836596,0.0,0.0,0.0,80.39087625586723
27,2018-01-28,353.4053730860748,-41.825994722513265,193.39240778559463,353.4053730860748,353.4053730860748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282.9533284106151,-282.9533284106151,-282.9533284106151,0.0,0.0,0.0,-96.86858840509844,-96.86858840509844,-96.86858840509844,-186.0847400055167,-186.0847400055167,-186.0847400055167,0.0,0.0,0.0,70.45204467545972
28,2018-01-29,354.4767067652457,156.8714155821651,377.7532198420389,354.4767067652457,354.4767067652457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.78512153532459,-88.78512153532459,-88.78512153532459,0.0,0.0,0.0,99.97155181616819,99.97155181616819,99.97155181616819,-188.75667335149276,-188.75667335149276,-188.75667335149276,0.0,0.0,0.0,265.6915852299211
29,2018-01-30,355.5480404444166,121.63931812413398,357.4591611687669,355.5480404444166,355.5480404444166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.18794086237376,-119.18794086237376,-119.18794086237376,0.0,0.0,0.0,72.76740485338061,72.76740485338061,72.76740485338061,-191.9553457157544,-191.9553457157544,-191.9553457157544,0.0,0.0,0.0,236.36009958204284
