,ds,yhat,yhat_lower,yhat_upper,y,cutoff
22,2019-06-24 00:00:00,4862.504622837365,4591.059843343506,5149.706898728791,2684,2019-01-19 18:00:00
23,2019-07-01 00:00:00,4311.806894777345,4040.0228515544686,4591.434829381077,2087,2019-01-19 18:00:00
24,2019-07-08 00:00:00,3974.313948977322,3688.723288868637,4269.134576321946,1884,2019-01-19 18:00:00
25,2019-07-15 00:00:00,4004.8494759313094,3731.1164623789496,4286.360335674602,3163,2019-01-19 18:00:00
26,2019-07-22 00:00:00,4300.587996338289,4038.032735595612,4572.778632036081,2771,2019-01-19 18:00:00
27,2019-07-29 00:00:00,4565.01549545877,4289.884000151371,4836.704974284548,2710,2019-01-19 18:00:00
28,2019-08-05 00:00:00,4535.576309175755,4254.1874207605015,4812.17900673622,2342,2019-01-19 18:00:00
29,2019-08-12 00:00:00,4188.474408522194,3912.754876438499,4467.812759097889,1887,2019-01-19 18:00:00
30,2019-08-19 00:00:00,3744.880831610034,3460.9304172407974,4015.6281602339222,2540,2019-01-19 18:00:00
31,2019-08-26 00:00:00,3479.219091234916,3213.1214962660074,3762.5422444340857,3197,2019-01-19 18:00:00
32,2019-09-02 00:00:00,4169.620460134543,3912.5005365699612,4425.3645005600065,2570,2019-01-19 18:00:00
33,2019-09-09 00:00:00,3690.4239172418206,3416.038146499749,3963.2204400003557,2552,2019-01-19 18:00:00
34,2019-09-16 00:00:00,3809.187397515511,3534.650962912849,4099.414137187073,2877,2019-01-19 18:00:00
35,2019-09-23 00:00:00,3682.9169086083307,3397.7212424203008,3958.7401363606973,2836,2019-01-19 18:00:00
36,2019-09-30 00:00:00,3303.2902453136376,3017.8782645105825,3573.9287015370323,2355,2019-01-19 18:00:00
37,2019-10-07 00:00:00,2808.5729305924033,2533.4893909418506,3068.4107107656764,1938,2019-01-19 18:00:00
38,2019-10-14 00:00:00,2595.209022481938,2321.78504496988,2887.7728406750925,1631,2019-01-19 18:00:00
39,2019-10-21 00:00:00,2155.963115146532,1883.128666417133,2410.9129104663143,1708,2019-01-19 18:00:00
40,2019-10-28 00:00:00,2136.675398963786,1867.3785276828626,2397.483427007123,1750,2019-01-19 18:00:00
41,2019-11-04 00:00:00,2238.887948149203,1957.7632557982743,2507.249961253344,1315,2019-01-19 18:00:00
42,2019-11-11 00:00:00,2351.844911555523,2068.9578657541524,2616.30792759239,1151,2019-01-19 18:00:00
43,2019-11-18 00:00:00,2424.169529203713,2124.714305335257,2700.697570692125,1060,2019-01-19 18:00:00
44,2019-11-25 00:00:00,2487.243495994022,2239.5442715380714,2771.8195087188005,1090,2019-01-19 18:00:00
45,2019-12-02 00:00:00,2597.3800418697274,2324.949497298915,2879.478701783714,1153,2019-01-19 18:00:00
46,2019-12-09 00:00:00,2755.8824697175014,2505.108533371823,3036.0597575768825,871,2019-01-19 18:00:00
47,2019-12-16 00:00:00,2896.2288157892363,2622.18551823493,3189.5455491697694,668,2019-01-19 18:00:00
48,2019-12-23 00:00:00,2957.8661932865048,2694.2189746949266,3235.501875794298,532,2019-01-19 18:00:00
49,2019-12-30 00:00:00,2962.6551747513454,2701.58594938266,3215.4829429097663,612,2019-01-19 18:00:00
50,2020-01-06 00:00:00,2996.1532139077353,2720.78234597223,3268.57193477057,740,2019-01-19 18:00:00
51,2020-01-13 00:00:00,3103.3722651146627,2825.3027822858003,3360.4741057440615,809,2019-01-19 18:00:00
52,2020-01-20 00:00:00,3167.0535084650082,2890.6607523373586,3430.48438417267,557,2019-01-19 18:00:00
