Created,Passenger,ds,y
2018-08-01,7473,2018-08-01,7473
2018-08-02,6876,2018-08-02,6876
2018-08-03,6521,2018-08-03,6521
2018-08-04,6060,2018-08-04,6060
2018-08-05,5212,2018-08-05,5212
2018-08-06,7038,2018-08-06,7038
2018-08-07,6879,2018-08-07,6879
2018-08-08,7860,2018-08-08,7860
2018-08-09,7612,2018-08-09,7612
2018-08-10,6995,2018-08-10,6995
2018-08-11,6227,2018-08-11,6227
2018-08-12,5393,2018-08-12,5393
2018-08-13,7161,2018-08-13,7161
2018-08-14,7401,2018-08-14,7401
2018-08-15,11948,2018-08-15,11948
2018-08-16,7910,2018-08-16,7910
2018-08-17,7022,2018-08-17,7022
2018-08-18,5639,2018-08-18,5639
2018-08-19,5346,2018-08-19,5346
2018-08-20,6514,2018-08-20,6514
2018-08-21,6194,2018-08-21,6194
2018-08-22,8181,2018-08-22,8181
2018-08-23,6595,2018-08-23,6595
2018-08-24,7020,2018-08-24,7020
2018-08-25,5436,2018-08-25,5436
2018-08-26,5064,2018-08-26,5064
2018-08-27,6482,2018-08-27,6482
2018-08-28,5806,2018-08-28,5806
2018-08-29,7468,2018-08-29,7468
2018-08-30,6464,2018-08-30,6464
2018-08-31,7534,2018-08-31,7534
2018-09-01,6601,2018-09-01,6601
2018-09-02,5879,2018-09-02,5879
2018-09-03,6608,2018-09-03,6608
2018-09-04,8651,2018-09-04,8651
2018-09-05,6913,2018-09-05,6913
2018-09-06,8904,2018-09-06,8904
2018-09-07,6460,2018-09-07,6460
2018-09-08,5245,2018-09-08,5245
2018-09-09,4903,2018-09-09,4903
2018-09-10,6574,2018-09-10,6574
2018-09-11,6274,2018-09-11,6274
2018-09-12,7263,2018-09-12,7263
2018-09-13,5441,2018-09-13,5441
2018-09-14,5522,2018-09-14,5522
2018-09-15,4378,2018-09-15,4378
2018-09-16,4462,2018-09-16,4462
2018-09-17,5587,2018-09-17,5587
2018-09-18,5786,2018-09-18,5786
2018-09-19,7735,2018-09-19,7735
2018-09-20,6090,2018-09-20,6090
2018-09-21,5681,2018-09-21,5681
2018-09-22,4900,2018-09-22,4900
2018-09-23,4609,2018-09-23,4609
2018-09-24,6646,2018-09-24,6646
2018-09-25,5743,2018-09-25,5743
2018-09-26,7999,2018-09-26,7999
2018-09-27,7699,2018-09-27,7699
2018-09-28,6352,2018-09-28,6352
2018-09-29,5051,2018-09-29,5051
2018-09-30,5256,2018-09-30,5256
2018-10-01,6697,2018-10-01,6697
2018-10-02,7159,2018-10-02,7159
2018-10-03,7177,2018-10-03,7177
2018-10-04,6337,2018-10-04,6337
2018-10-05,6267,2018-10-05,6267
2018-10-06,5059,2018-10-06,5059
2018-10-07,4648,2018-10-07,4648
2018-10-08,6337,2018-10-08,6337
2018-10-09,5496,2018-10-09,5496
2018-10-10,7038,2018-10-10,7038
2018-10-11,7363,2018-10-11,7363
2018-10-12,5980,2018-10-12,5980
2018-10-13,3054,2018-10-13,3054
2018-10-14,2601,2018-10-14,2601
2018-10-15,3761,2018-10-15,3761
2018-10-16,5142,2018-10-16,5142
2018-10-17,5608,2018-10-17,5608
2018-10-18,5072,2018-10-18,5072
2018-10-19,5017,2018-10-19,5017
2018-10-20,4347,2018-10-20,4347
2018-10-21,4381,2018-10-21,4381
2018-10-22,5327,2018-10-22,5327
2018-10-23,4607,2018-10-23,4607
2018-10-24,5316,2018-10-24,5316
2018-10-25,5296,2018-10-25,5296
2018-10-26,5216,2018-10-26,5216
2018-10-27,4707,2018-10-27,4707
2018-10-28,4173,2018-10-28,4173
2018-10-29,4898,2018-10-29,4898
2018-10-30,4721,2018-10-30,4721
2018-10-31,5339,2018-10-31,5339
2018-11-01,5483,2018-11-01,5483
2018-11-02,5545,2018-11-02,5545
2018-11-03,5227,2018-11-03,5227
2018-11-04,4274,2018-11-04,4274
2018-11-05,6426,2018-11-05,6426
2018-11-06,5880,2018-11-06,5880
2018-11-07,8226,2018-11-07,8226
2018-11-08,6240,2018-11-08,6240
2018-11-09,6939,2018-11-09,6939
2018-11-10,6746,2018-11-10,6746
2018-11-11,5736,2018-11-11,5736
2018-11-12,7478,2018-11-12,7478
2018-11-13,7368,2018-11-13,7368
2018-11-14,7449,2018-11-14,7449
2018-11-15,7489,2018-11-15,7489
2018-11-16,11497,2018-11-16,11497
2018-11-17,7587,2018-11-17,7587
2018-11-18,5780,2018-11-18,5780
2018-11-19,6649,2018-11-19,6649
2018-11-20,5717,2018-11-20,5717
2018-11-21,6204,2018-11-21,6204
2018-11-22,6279,2018-11-22,6279
2018-11-23,11277,2018-11-23,11277
2018-11-24,8281,2018-11-24,8281
2018-11-25,7531,2018-11-25,7531
2018-11-26,14004,2018-11-26,14004
2018-11-27,12665,2018-11-27,12665
2018-11-28,6512,2018-11-28,6512
2018-11-29,5408,2018-11-29,5408
2018-11-30,5343,2018-11-30,5343
2018-12-01,4735,2018-12-01,4735
2018-12-02,4032,2018-12-02,4032
2018-12-03,4717,2018-12-03,4717
2018-12-04,6044,2018-12-04,6044
2018-12-05,5935,2018-12-05,5935
2018-12-06,4813,2018-12-06,4813
2018-12-07,5187,2018-12-07,5187
