,ds,yhat,yhat_lower,yhat_upper,y,cutoff
41,2019-11-04 00:00:00,5640.472382499855,5369.100002664169,5930.156848937197,5742,2019-01-19 18:00:00
42,2019-11-11 00:00:00,6331.114288661983,6032.7932664818845,6620.687759774366,5408,2019-01-19 18:00:00
43,2019-11-18 00:00:00,6365.055887863417,6087.761120916095,6643.146596312596,4387,2019-01-19 18:00:00
44,2019-11-25 00:00:00,5953.003853683893,5643.719896949849,6253.008448972753,5876,2019-01-19 18:00:00
45,2019-12-02 00:00:00,5474.130622557767,5182.529643533427,5753.987012469618,6586,2019-01-19 18:00:00
46,2019-12-09 00:00:00,5049.18893320356,4775.249293146459,5349.770481004916,5563,2019-01-19 18:00:00
47,2019-12-16 00:00:00,4584.587999310981,4295.2835794185885,4850.159589634501,4321,2019-01-19 18:00:00
48,2019-12-23 00:00:00,4085.5716126583347,3802.6351328205956,4372.746830803825,3104,2019-01-19 18:00:00
49,2019-12-30 00:00:00,3752.3347892675733,3475.2059790850203,4031.473511745201,3824,2019-01-19 18:00:00
50,2020-01-06 00:00:00,3739.9570278714837,3460.7487832255883,4019.467345741037,2950,2019-01-19 18:00:00
51,2020-01-13 00:00:00,3934.905476648691,3657.9553712728093,4208.706782803689,2667,2019-01-19 18:00:00
52,2020-01-20 00:00:00,3963.298100947742,3679.7077988917804,4255.355162788974,1868,2019-01-19 18:00:00
