,ds,yhat,yhat_lower,yhat_upper,y,cutoff
45,2019-03-11,1268.7669972463045,1007.3168002234141,1541.4099619771055,1615,2019-01-24
46,2019-03-12,1287.2215082072141,1016.9386528538954,1551.6690443098332,1469,2019-01-24
47,2019-03-13,1233.9419595860709,964.283434003145,1488.4466890144138,1541,2019-01-24
48,2019-03-14,1165.76609912672,880.1508388915703,1437.4138210224278,1405,2019-01-24
49,2019-03-15,1208.6745461211376,947.9878259295668,1495.2398829859233,1354,2019-01-24
50,2019-03-16,857.385070403338,591.2607687698054,1145.496434984901,1128,2019-01-24
51,2019-03-17,737.9326501261826,460.9288921143981,990.4183267077242,921,2019-01-24
52,2019-03-18,1210.7766190005113,919.6112456435967,1479.4511139266453,1363,2019-01-24
53,2019-03-19,1217.8877775671763,940.2911397988001,1502.998760885311,1269,2019-01-24
54,2019-03-20,1154.8270880679615,881.8674279842614,1425.3561865348759,1313,2019-01-24
55,2019-03-21,1078.6660508260784,794.5044845858323,1363.347372626817,1441,2019-01-24
56,2019-03-22,1115.571287437517,844.7380892095489,1397.5891821418365,1326,2019-01-24
57,2019-03-23,760.3935060723751,496.9497285893832,1028.9621039585675,920,2019-01-24
58,2019-03-24,639.2437604376191,382.4366764501551,929.3494698097866,787,2019-01-24
59,2019-03-25,1112.598425970147,856.9399231875636,1377.000506083029,1263,2019-01-24
60,2019-03-26,1122.385833060581,834.2090542544943,1394.4401739804778,1326,2019-01-24
61,2019-03-27,1064.0661925502607,785.6651212573147,1308.0630946600859,1362,2019-01-24
62,2019-03-28,994.5548770439281,742.3727445008291,1261.6818856088987,1144,2019-01-24
63,2019-03-29,1039.811499974264,765.7318578099238,1312.2747005898939,1256,2019-01-24
64,2019-03-30,694.4348377817407,448.69655596858775,949.6107147276905,1038,2019-01-24
65,2019-03-31,584.2463341187547,307.95391205577295,864.4552083701006,1079,2019-01-24
66,2019-04-01,1069.403399345299,792.7877047095577,1329.8784531849083,1399,2019-01-24
